IMEI,TriggerID,Notification_Code
860948064242752,4R5T6,SDN285
865265059871791,1239,TDN3793
865265059871792,1240,TDN3793
865265059871793,1241,TDN3794
865265059871794,1242,TDN3795
865265059871795,1243,TDN3796
865265059871796,1244,TDN3797
865265059871797,1245,TDN3798
865265059871798,1246,TDN3799
865265059871799,1247,TDN3800
865265059871800,1248,TDN3801
865265059871801,1249,TDN3802
865265059871802,1250,TDN3803
865265059871803,1251,TDN3804
865265059871804,1252,TDN3805
865265059871805,1253,TDN3806
865265059871806,1254,TDN3807
865265059871807,1255,TDN3808
865265059871808,1256,TDN3809
865265059871809,1257,TDN3810
865265059871810,1258,TDN3811
865265059871811,1259,TDN3812
865265059871812,1260,TDN3813
865265059871813,1261,TDN3814
865265059871814,1262,TDN3815
865265059871815,1263,TDN3816
865265059871816,1264,TDN3817
865265059871817,1265,TDN3818
865265059871818,1266,TDN3819
865265059871819,1267,TDN3820
865265059871820,1268,TDN3821
865265059871821,1269,TDN3822
865265059871822,1270,TDN3823
865265059871823,1271,TDN3824
865265059871824,1272,TDN3825
865265059871825,1273,TDN3826
865265059871826,1274,TDN3827
865265059871827,1275,TDN3828
865265059871828,1276,TDN3829
865265059871829,1277,TDN3830
865265059871830,1278,TDN3831
865265059871831,1279,TDN3832
865265059871832,1280,TDN3833
865265059871833,1281,TDN3834
865265059871834,1282,TDN3835
865265059871835,1283,TDN3836
865265059871836,1284,TDN3837
865265059871837,1285,TDN3838
865265059871838,1286,TDN3839
865265059871839,1287,TDN3840
865265059871840,1288,TDN3841
865265059871841,1289,TDN3842
865265059871842,1290,TDN3843
865265059871843,1291,TDN3844
865265059871844,1292,TDN3845
865265059871845,1293,TDN3846
865265059871846,1294,TDN3847
865265059871847,1295,TDN3848
865265059871848,1296,TDN3849
865265059871849,1297,TDN3850
865265059871850,1298,TDN3851
865265059871851,1299,TDN3852
865265059871852,1300,TDN3853
865265059871853,1301,TDN3854
865265059871854,1302,TDN3855
865265059871855,1303,TDN3856
865265059871856,1304,TDN3857
865265059871857,1305,TDN3858
865265059871858,1306,TDN3859
865265059871859,1307,TDN3860
865265059871860,1308,TDN3861
865265059871861,1309,TDN3862
865265059871862,1310,TDN3863
865265059871863,1311,TDN3864
865265059871864,1312,TDN3865
865265059871865,1313,TDN3866
865265059871866,1314,TDN3867
865265059871867,1315,TDN3868
865265059871868,1316,TDN3869
865265059871869,1317,TDN3870
865265059871870,1318,TDN3871
865265059871871,1319,TDN3872
865265059871872,1320,TDN3873
865265059871873,1321,TDN3874
865265059871874,1322,TDN3875
865265059871875,1323,TDN3876
865265059871876,1324,TDN3877
865265059871877,1325,TDN3878
865265059871878,1326,TDN3879
865265059871879,1327,TDN3880
865265059871880,1328,TDN3881
865265059871881,1329,TDN3882
865265059871882,1330,TDN3883
865265059871883,1331,TDN3884
865265059871884,1332,TDN3885
865265059871885,1333,TDN3886
865265059871886,1334,TDN3887
865265059871887,1335,TDN3888
865265059871888,1336,TDN3889
865265059871889,1337,TDN3890
865265059871890,1338,TDN3891
865265059871891,1339,TDN3892
865265059871892,1340,TDN3893
865265059871893,1341,TDN3894
865265059871894,1342,TDN3895
865265059871895,1343,TDN3896
865265059871896,1344,TDN3897
865265059871897,1345,TDN3898
865265059871898,1346,TDN3899
865265059871899,1347,TDN3900
865265059871900,1348,TDN3901
865265059871901,1349,TDN3902
865265059871902,1350,TDN3903
865265059871903,1351,TDN3904
865265059871904,1352,TDN3905
865265059871905,1353,TDN3906
865265059871906,1354,TDN3907
865265059871907,1355,TDN3908
865265059871908,1356,TDN3909
865265059871909,1357,TDN3910
865265059871910,1358,TDN3911
865265059871911,1359,TDN3912
865265059871912,1360,TDN3913
